target,model,r2_mean,r2_std,rmse_mean,mae_mean
systolic_change,Random Forest,0.3788627884014686,0.15673050059254973,3.2023610825820983,2.6199555555555554
systolic_change,Ridge Regression,0.29440654407865485,0.158871889706454,3.425714328020497,2.738291259736125
systolic_change,Linear Regression,0.2859874478939002,0.15837731789381013,3.445995063975578,2.7577917129003415
systolic_change,XGBoost,0.269383691180258,0.16543211405881372,3.4663197355654587,2.8042296096372112
diastolic_change,Random Forest,0.3210930381196609,0.06402599668538735,2.1091707418074703,1.6823155555555556
diastolic_change,Ridge Regression,0.19516790531606118,0.09721490732964874,2.2939978946421022,1.8416704740174257
diastolic_change,Linear Regression,0.1830328843304139,0.09793561678085548,2.3113963235232915,1.8555235270100663
diastolic_change,XGBoost,0.18100902822627624,0.06363316934324623,2.317919252631385,1.853106693079074
